"","fformation","session","child_id","N","feedback","sd","se","ci"
"1","f2f","1","1",3,1,0,0,0
"2","f2f","1","2",15,-0.2,1.01418510567422,0.261861468283191,0.561636991252398
"3","f2f","1","3",23,-0.304347826086957,0.973969507115348,0.203086681085615,0.42117599835347
"4","f2f","1","4",3,0.333333333333333,1.15470053837925,0.666666666666667,2.86843515316631
"5","f2f","1","5",5,0.2,1.09544511501033,0.489897948556636,1.36017476131651
"6","f2f","1","10",11,-0.636363636363636,0.80903983495589,0.243934688454523,0.543520356692689
"7","f2f","2","6",15,0.333333333333333,0.975900072948533,0.251976315339485,0.540435446810706
"8","f2f","2","7",20,-0.3,0.978720969859186,0.218848661960966,0.458055513759375
"9","f2f","2","8",10,0.2,1.03279555898864,0.32659863237109,0.73881743557836
"10","f2f","2","22",19,-0.578947368421053,0.837707816583391,0.192183353510585,0.403762243157822
"11","f2f","2","23",5,-0.2,1.09544511501033,0.489897948556636,1.36017476131651
"12","f2f","2","24",9,-1,0,0,0
"13","sbs","1","6",16,-0.125,1.02469507659596,0.25617376914899,0.546021463836949
"14","sbs","1","7",21,-0.142857142857143,1.01418510567422,0.221313334068995,0.461651525260463
"15","sbs","1","8",13,-0.692307692307692,0.751067616198811,0.208308677041948,0.453865618070003
"16","sbs","1","22",20,-0.2,1.00524937990007,0.224780594779607,0.470471191837923
"17","sbs","1","23",9,-0.111111111111111,1.05409255338946,0.351364184463153,0.810247262334671
"18","sbs","1","24",5,0.6,0.894427190999916,0.4,1.11057804207912
"19","sbs","2","1",4,1,0,0,0
"20","sbs","2","2",15,0.466666666666667,0.915475416434127,0.236374736114112,0.50697338737763
"21","sbs","2","3",12,0.166666666666667,1.02985730108887,0.297294195005282,0.654340111388015
"22","sbs","2","4",5,-0.6,0.894427190999916,0.4,1.11057804207912
"23","sbs","2","5",9,0.111111111111111,1.05409255338946,0.351364184463153,0.810247262334671
"24","sbs","2","10",18,0.555555555555556,0.855585263892997,0.201663380660673,0.425472541996419
